episode_idx,final_pos_error,is_crash,total_reward,jitter_norm,start_yaw_rad,truncation_reason,disturbance_fired,disturbance_type,disturbance_level,disturbance_magnitude,recovered,recovery_time_steps,wind_steady_state_error_mean
0,0.5160250067710876,True,-19.240788678983492,0.3188829064173994,-0.25314553807287665,tilt,True,kick,5,1.956377788638861,False,,
1,0.007279513403773308,False,-25.946913146484444,0.413421458276461,-0.24421402169144382,timeout,True,wind,4,0.10702622482410237,True,0,0.026306451531127095
2,0.013655317947268486,False,-25.989515723404782,0.36477959879419264,0.0893387346207612,timeout,True,torque,4,7.846155334443761,True,0,
3,0.006215251050889492,False,-17.160182768655908,0.15929815154717575,-0.19106302318180546,timeout,True,wind,3,0.08576062967427178,True,0,0.025201193545944987
4,0.027517840266227722,False,-24.50836950095293,0.27738727213497966,-0.09326896872921608,timeout,True,wind,3,0.080137336765214,True,0,0.023357191837082306
5,0.11001811921596527,True,-16.868598691994606,0.3630475017708967,-0.13646584053239288,tilt,True,torque,4,6.175704104415583,False,,
6,0.01657051593065262,False,-22.4153770158637,0.3605229239276642,-0.049976539802558145,timeout,True,wind,1,0.021815060912382438,True,0,0.01842804948488871
7,0.0144139863550663,False,-32.128505492816636,0.3646170151107249,0.06760087006595139,timeout,True,kick,4,1.2761508618863135,True,21,
8,0.0340605191886425,False,-25.18556320039575,0.31152134737578463,-0.0013494734870266867,timeout,True,torque,3,5.571571401427615,True,0,
9,0.013013269752264023,False,-25.261087838998947,0.37152357339478514,0.24500558011492185,timeout,True,wind,5,0.17454560360982302,True,0,0.044290130802740656
10,0.02127453312277794,False,-28.51770025242601,0.4154117745851606,-0.010478298591398927,timeout,True,kick,2,0.7405641736154924,True,0,
11,0.009520300664007664,False,-27.08976526073556,0.40282000309223404,0.05988569206369648,timeout,True,torque,3,5.43843954565348,True,0,
12,0.0064963786862790585,False,-32.83268709133134,0.419533591306019,-0.2268805808640553,timeout,True,torque,2,2.8605974638956666,True,30,
13,1.081606388092041,True,-29.15959859749553,0.36335564562350153,-0.11082975646265117,tilt,True,kick,5,1.777045251086634,False,,
14,0.01568964123725891,False,-21.1528821221426,0.2119553687844871,0.24037249162093405,timeout,True,torque,2,3.1052230210425744,True,0,
15,0.142469584941864,True,-21.137454759343306,0.41612219631002495,-0.04430481442849818,tilt,True,torque,5,9.039818243229167,False,,
16,0.017827967181801796,False,-26.061285963363012,0.3226481790759037,-0.19539810833023583,timeout,True,kick,5,1.5297320758001693,True,15,
17,0.02046651393175125,False,-19.71433875691081,0.24410212605630016,0.19012929430853104,timeout,True,wind,4,0.12042826022174583,True,0,0.034242869292696314
18,0.12306192517280579,False,-39.3936584740848,0.3512432066228618,0.0879066871930857,timeout,True,torque,5,12.702858308857675,True,18,
19,0.5403346419334412,True,-20.645427202079027,0.25865213008257676,-0.05468608392243446,tilt,True,kick,5,1.7807003837751114,False,,
20,0.011816136538982391,False,-23.815282764279456,0.38032232034916647,0.03738264898174881,timeout,True,torque,1,1.7726492012253887,True,0,
21,0.046838026493787766,False,-23.431765699276617,0.21529915176544137,0.05353230757055055,timeout,True,kick,5,1.5361326327649385,True,0,
22,0.273464173078537,True,-15.310473407316085,0.2889753667812342,0.19557599231307038,tilt,True,kick,3,1.073786580092266,False,,
23,0.029521698132157326,False,-22.84814807142536,0.34916070819798267,-0.0017950569292966012,timeout,True,kick,1,0.43474668754545476,True,0,
24,0.04070767015218735,False,-21.601105586680738,0.29989095003102084,0.0412378559081405,timeout,True,kick,1,0.46162735036271363,True,0,
25,0.02593650296330452,False,-19.842646636543183,0.2609867867765117,0.05385156085587395,timeout,True,wind,4,0.13654763050829558,True,0,0.03762511732056737
26,0.5695592761039734,True,-26.53598438103095,0.3567679318955837,-0.0075737836242071865,tilt,True,kick,3,1.0632586717615389,False,,
27,0.014980402775108814,False,-19.974940894105483,0.2649672810048471,-0.07209538853589995,timeout,True,wind,4,0.12165639934520658,True,0,0.03128873431123793
28,0.4045579731464386,True,-19.01385831298042,0.33616545713523843,0.10670197927245278,tilt,True,kick,5,1.990914161435897,False,,
29,0.00982176885008812,False,-21.03531875953638,0.29117641041350234,-0.012489363911595247,timeout,True,wind,2,0.06104705698185619,True,0,0.025435511053850255
30,0.2565414011478424,True,-16.741860953755527,0.359227518631104,-0.012478948878370338,tilt,True,kick,3,0.9271212328911342,False,,
31,0.012073809280991554,False,-23.189074587203375,0.3113230056190729,-0.2407411765767586,timeout,True,wind,1,0.031380517085267165,True,0,0.01751388340101888
32,0.0226933304220438,False,-25.49889055872492,0.3686852261082488,-0.05671894237237665,timeout,True,wind,4,0.11756915727433227,True,0,0.030031080978612106
33,0.011229701340198517,False,-30.652073769707012,0.28874853158688396,-0.008116334807981962,timeout,True,kick,4,1.1344049744244011,True,30,
34,0.022015102207660675,False,-16.760232038739648,0.1679011991601354,0.23230913463419217,timeout,True,torque,1,1.5121736578377352,True,0,
35,0.019487842917442322,False,-15.425949465515512,0.17347905494613403,-0.2554394815982891,timeout,True,wind,1,0.03433501361127456,True,0,0.01765520467112462
36,0.02804790809750557,False,-22.160047647200983,0.17080353667267043,0.2576227600511665,timeout,True,wind,5,0.1460803161009015,True,0,0.05215711301813523
37,0.014769463799893856,False,-22.031237961616966,0.302440162236926,0.1684898986268648,timeout,True,wind,2,0.05429765265117312,True,0,0.032328711450099946
38,0.0220665093511343,False,-22.913868066667945,0.3435961209685358,-0.20552444261146396,timeout,True,wind,3,0.08183979391212881,True,0,0.029597870415697496
